grade,gender,mathscore,propassign
5,M,87.5,0.62
7,F,68.4,0
8,F,100,0.95
6,M,84.5,0.5
7,F,76.1,1
5,M,87.3,0.32
6,M,66.9,0.8
5,F,91.5,1
7,M,90.6,0.45
6,M,85.9,0.27
7,M,97.1,0.55
6,F,104.9,0.85
8,F,98.2,1
5,F,103.8,0.95
5,F,80.2,0.97
8,M,56.1,0
7,M,68.1,0
7,M,76.3,0.7
6,M,97.3,0.3
8,F,66.3,1
7,M,79,0
6,M,73.9,0.46
8,M,77.3,0.22
7,M,80.2,0.72
7,M,77.1,1
8,F,103.1,1
7,M,104.8,1
7,F,55.7,0
7,M,69.4,0.67
5,F,83.6,0.68
8,F,81.4,1
7,M,84.7,0.59
6,F,92.1,0.51
5,M,97.8,0.65
7,M,88.2,0
8,F,69.5,0.96
6,M,94.8,0.21
7,M,84.7,0.35
5,M,67.7,0
7,F,100.3,1
8,M,104.2,0.92
7,F,77.2,0.2
7,M,70.9,0.73
6,M,96.7,0.62
