bodystyle,country,hwy,doors,leather,price
coupe,USA,26,4,no,17445
coupe,USA,40,4,no,23500
coupe,USA,35,2,no,19600
coupe,Germany,37,4,no,23400
coupe,Germany,25,4,no,24100
coupe,Germany,24,2,no,12400
coupe,Japan,26,2,no,13300
coupe,Japan,27,4,no,15550
coupe,Japan,20,4,yes,29345
hatchback,USA,30,2,no,12540
hatchback,USA,39,4,no,17595
hatchback,USA,38,2,no,17300
hatchback,Germany,38,4,no,17800
hatchback,Germany,32,4,no,22500
hatchback,Germany,34,4,no,20300
hatchback,Japan,38,4,yes,27300
hatchback,Japan,38,2,yes,23300
hatchback,Japan,38,2,yes,29300
sedan,USA,29,4,no,32000
sedan,USA,25,2,yes,34200
sedan,USA,33,4,yes,33395
sedan,Germany,40,4,no,22850
sedan,Germany,23,2,yes,36000
sedan,Germany,25,4,no,19900
sedan,Japan,40,4,yes,36700
sedan,Japan,35,4,yes,31600
sedan,Japan,37,4,no,24600
