Age,Gender,QuietTime,NChildren,StressLevel,JobStatus,NActivities,PastVac,Sleephours
62,F,60,1,5,unempl,1,15,7.7
28,F,15,1,6,unempl,5,11,5.3
50,M,15,0,5,unempl,1,19,6.4
36,M,60,1,6,full,1,21,7.7
56,F,50,0,3,part,4,5,7.6
48,M,180,0,5,full,0,6,6.4
55,M,40,0,8,full,8,23,7.0
26,F,80,0,7,student,9,8,8.3
44,M,180,1,3,part,6,20,9.6
49,F,5,0,7,unempl,5,15,5.5
29,M,60,2,5,student,5,7,7.7
56,M,10,1,4,unempl,4,17,5.7
46,F,40,1,7,part,3,3,7.4
41,F,5,2,6,full,9,10,6.2
22,M,15,0,8,full,4,3,6.3
36,F,45,2,5,part,8,14,7.5
54,F,120,1,8,part,7,10,8.5
42,F,60,3,1,full,9,11,6.3
58,F,5,1,7,full,1,17,5.3
33,M,100,2,1,full,9,5,8.3
50,F,2,2,6,full,3,12,5.1
59,M,30,2,5,full,2,6,6.9
32,M,30,1,8,full,5,9,6.9
50,M,60,2,8,part,8,13,8.0
56,F,10,0,3,unempl,7,7,6.1
42,F,240,0,1,part,8,21,8.8
58,F,10,2,7,full,9,4,6.2
57,F,15,1,6,full,2,16,6.3
30,F,30,0,2,full,8,9,8.3
54,M,20,2,8,full,6,7,6.5
57,M,45,2,4,full,7,18,7.5
45,F,120,0,9,part,2,13,6.6
33,F,40,1,6,unempl,9,24,7.0
56,F,120,0,5,part,2,20,8.7
59,F,60,2,9,part,4,19,8.1
41,M,60,2,3,student,2,3,7.5
62,M,40,0,1,unempl,0,2,8.6
29,M,15,1,7,unempl,3,20,6.3
34,F,30,0,7,unempl,9,0,6.6
32,F,20,3,7,unempl,2,8,7.8
46,F,20,2,3,unempl,9,18,7.9
45,M,60,0,2,unempl,0,22,9.0
23,M,45,0,6,part,4,12,7.6
38,M,60,4,5,full,3,5,7.8
45,M,30,0,5,unempl,9,7,6.8
63,F,40,0,6,unempl,5,5,7.3
27,F,120,0,4,student,1,16,7.3
30,F,45,0,7,part,8,10,7.7
34,F,5,3,6,full,0,4,6.0
62,M,10,0,10,part,8,11,6.0
