age,gender,run,t1,bike,t2,swim
55,M,24.17,2.60,37.95,2.50,5.70
59,F,34.88,2.83,52.15,3.05,5.20
24,M,32.97,2.55,59.20,3.47,5.37
53,F,22.20,1.83,46.70,2.15,5.50
51,M,27.35,1.75,42.05,2.32,3.75
38,F,32.13,2.38,50.92,2.95,6.00
66,M,25.39,1.95,41.57,2.80,3.93
30,F,24.67,1.58,48.28,2.77,5.68
43,F,42.33,2.78,63.60,4.08,7.18
47,F,28.73,2.35,45.57,3.90,6.62
26,F,29.62,2.92,51.23,3.85,4.92
45,M,22.23,2.07,38.95,2.35,4.28
29,F,26.93,2.10,44.33,2.45,7.47
34,M,17.75,0.75,33.27,1.23,3.65
39,M,37.47,2.52,55.67,4.47,8.60
54,M,36.63,3.27,43.92,3.08,7.15
26,M,34.42,2.73,52.62,2.67,9.23
36,M,27.38,2.22,39.03,2.92,7.43
42,M,21.37,2.12,35.95,1.93,3.95
49,M,29.03,4.50,38.53,3.95,8.80
42,F,28.53,3.27,49.85,3.67,8.13
42,F,25.12,1.72,39.52,2.50,4.55
42,F,26.33,1.70,48.98,2.30,5.02
41,F,36.75,3.95,62.85,3.13,6.93
15,M,25.12,1.70,44.75,3.20,7.48
48,M,26.52,4.43,40.98,3.82,6.58
37,M,28.30,2.85,41.78,3.47,6.02
55,M,31.25,2.70,43.43,3.25,5.25
42,M,24.38,1.45,37.13,1.83,3.70
25,M,33.45,2.25,51.38,4.03,7.45
12,F,27.62,2.23,55.47,2.97,4.37
23,F,28.55,2.17,54.57,2.55,7.90
49,M,33.88,2.77,54.82,3.87,6.90
53,F,26.97,1.77,42.33,3.40,6.58
45,F,26.58,1.65,44.30,2.52,5.40
33,F,32.32,2.10,54.87,2.32,6.25
63,M,40.53,3.78,69.75,3.83,12.17
50,M,33.68,3.07,43.57,3.13,5.77
43,F,34.93,2.58,62.35,2.95,7.92
24,M,22.88,1.82,39.55,2.12,4.03
44,M,29.25,2.47,45.60,2.75,9.18
51,F,36.98,3.70,46.58,5.18,7.60
