school,API,subject,classsize,year,score
1,911,ELA,20,15,78.39
1,912,ELA,22,16,79.85
1,917,ELA,23,17,81.34
1,917,ELA,22,18,82.56
1,919,ELA,24,19,83.12
1,911,Math,21,15,83.77
1,912,Math,22,16,84.9
1,917,Math,24,17,86.12
1,917,Math,23,18,88.99
1,919,Math,23,19,88.4
1,911,Science,21,15,80.19
1,912,Science,22,16,83.15
1,917,Science,24,17,84.45
1,917,Science,23,18,86.66
1,919,Science,23,19,88.43
2,732,ELA,34,15,68.03
2,745,ELA,36,16,70.67
2,751,ELA,36,17,74.17
2,753,ELA,37,18,72.78
2,753,ELA,38,19,73.18
2,732,Math,34,15,67.88
2,745,Math,34,16,68.34
2,751,Math,35,17,70.3
2,753,Math,37,18,71.22
2,753,Math,36,19,72.12
2,732,Science,34,15,72.96
2,745,Science,34,16,73.65
2,751,Science,36,17,74.58
2,753,Science,35,18,76.36
2,753,Science,35,19,76.23
