portfolio,asset,type,day1,day2,day3,day4,day5
1,1,stock,0,0,0,0,1
1,2,stock,0,1,1,0,0
1,3,bond,0,0,0,0,0
1,4,bond,1,0,0,0,0
1,5,stock,1,1,1,0,1
1,6,stock,1,0,1,1,1
1,7,stock,1,1,1,1,1
2,8,currency,0,1,1,1,1
2,9,stock,0,1,1,1,1
2,10,bond,0,1,0,0,1
2,11,stock,1,0,1,1,1
3,12,currency,1,0,1,0,1
3,13,stock,0,0,1,0,1
3,14,stock,0,0,1,1,1
4,15,stock,1,0,1,0,0
4,16,bond,1,1,1,1,0
4,17,currency,0,0,0,0,1
4,18,stock,1,1,1,1,1
4,19,currency,0,0,0,0,1
5,20,stock,0,0,1,1,1
5,21,currency,1,0,0,1,1
5,22,stock,0,0,1,1,1
5,23,bond,1,1,0,0,0
5,24,stock,1,1,1,1,1
6,25,bond,1,0,0,1,1
6,26,stock,1,1,1,1,1
6,27,stock,1,1,1,1,1
6,28,stock,1,1,1,1,1
7,29,currency,0,1,1,1,1
7,30,currency,0,0,1,1,1
7,31,bond,1,1,1,1,0
7,32,currency,1,0,1,1,1
7,33,bond,0,0,0,1,1
7,34,bond,1,0,1,0,1
7,35,stock,1,1,1,1,1
7,36,stock,1,1,1,1,1
