school,class,student,gender,task1,task2,task3,task4
1,1,1,boy,1,3,4,5
1,1,2,boy,0,0,3,4
1,1,3,boy,1,2,4,5
1,1,4,girl,3,3,5,5
1,1,5,boy,1,1,4,13
1,1,6,girl,2,4,3,4
1,1,7,girl,1,2,3,7
1,2,1,boy,1,2,3,5
1,2,2,boy,10,11,7,6
1,2,3,girl,3,14,8,7
1,2,4,boy,2,2,5,6
1,2,5,girl,3,3,5,8
2,1,1,boy,11,3,4,8
2,1,2,boy,0,5,5,3
2,1,3,girl,2,6,7,9
2,1,4,boy,0,2,4,6
2,1,5,boy,2,3,3,5
2,1,6,girl,3,5,4,9
2,1,7,boy,1,3,7,3
2,2,1,girl,0,2,6,5
2,2,2,boy,0,10,4,13
2,2,3,girl,3,4,7,6
2,2,4,boy,1,2,5,3
2,2,5,boy,3,4,2,12
2,2,6,girl,1,10,6,8
2,2,7,girl,4,3,8,7
2,2,8,girl,12,5,4,5
2,3,1,girl,1,0,12,1
2,3,2,girl,0,1,2,4
2,3,3,boy,0,1,1,3
2,3,4,boy,0,1,0,2
2,3,5,girl,1,1,1,2
2,3,6,boy,0,0,0,1
