npolicies,yrswithfirm,percopenclaims,claimamount
12318,4,16,19.9
29777,4,15,200.5
36980,10,12,308.5
18055,4,20,24.4
16505,20,27,48.7
19049,11,14,51
37112,20,26,163.2
22338,16,35,7.1
32349,16,25,1.5
26626,1,21,81
28547,11,17,91
33268,5,21,147.5
29045,13,29,63.9
18622,7,10,8.5
22784,12,11,27
39612,23,26,296.6
28423,7,12,129
17020,6,30,26
36930,7,24,98.6
37152,15,26,103.5
29629,9,35,107.4
32319,6,19,78.9
27103,23,25,0.3
23704,2,28,6.1
20432,21,16,58.4
30899,16,12,19.5
19052,10,23,46.9
37823,12,19,325.6
24269,14,31,5.7
23103,22,14,71.2
25556,4,32,29.3
15878,11,12,34.4
36772,17,13,50.6
19475,1,34,107.5
29241,8,29,180.2
36821,7,33,158.7
47309,11,12,124
15381,2,25,41.9
39857,13,11,195
34790,7,18,60.7
