success,cover,methods,novels,years
yes,yes,one,many,18
no,no,one,first,7
no,yes,none,several,10
yes,yes,many,many,6
no,yes,none,several,1
no,no,one,several,1
no,no,one,first,11
yes,no,one,several,19
yes,yes,none,first,5
no,no,none,many,2
no,no,one,several,10
no,no,many,many,9
yes,no,many,several,6
yes,yes,many,many,8
no,no,one,several,12
no,no,none,many,2
yes,no,none,several,17
yes,yes,many,first,10
yes,no,none,several,7
no,no,one,first,12
no,yes,none,several,7
no,yes,none,many,4
no,no,one,several,9
yes,no,many,several,13
yes,yes,none,first,6
no,no,none,many,2
yes,yes,one,several,7
yes,yes,many,many,17
yes,yes,many,first,18
yes,yes,one,several,17
no,yes,none,several,9
no,no,one,several,11
yes,yes,many,first,17
no,no,many,many,1
no,no,many,many,6
no,yes,none,several,1
yes,yes,many,first,6
yes,yes,one,many,4
no,yes,none,many,7
no,no,one,first,12
no,no,one,several,7
yes,yes,one,several,9
no,no,one,several,8
no,no,one,several,2
