GPA,GMAT,status
2.96,596,admit
3.14,473,admit
3.22,482,admit
3.29,527,admit
3.69,505,admit
2.46,693,admit
3.03,626,admit
3.19,663,admit
3.63,447,admit
3.59,588,admit
3.3,563,admit
3.78,591,admit
3.44,692,admit
3.48,528,admit
3.47,552,admit
3.35,520,admit
2.89,543,admit
2.28,523,admit
3.21,530,admit
3.58,564,admit
3.33,565,admit
2.8,444,border
3.13,416,border
2.89,431,border
3.01,471,border
2.91,446,border
2.75,546,border
2.73,467,border
3.12,463,border
3.08,440,notadmit
3.01,453,notadmit
3.03,414,notadmit
3.04,446,notadmit
2.89,485,notadmit
2.79,490,notadmit
2.54,446,notadmit
2.43,425,notadmit
2.2,474,notadmit
3.36,531,notadmit
2.57,542,notadmit
2.36,482,notadmit
3.66,420,notadmit
