inbusiness,firsttime,type,amount
< 1 year,yes,stationery,5690
1-5 years,yes,stationery,14454
5+ years,yes,electronics,20489
5+ years,no,stationery,13115
< 1 year,no,electronics,44885
< 1 year,no,electronics,28182
< 1 year,no,furniture,40982
< 1 year,no,stationery,10160
1-5 years,no,furniture,51363
5+ years,yes,electronics,29448
5+ years,no,stationery,2093
< 1 year,no,furniture,127133
1-5 years,yes,furniture,21593
< 1 year,no,furniture,220909
1-5 years,no,electronics,17000
1-5 years,yes,electronics,22812
1-5 years,yes,electronics,13090
1-5 years,no,electronics,24336
5+ years,yes,stationery,452
< 1 year,yes,stationery,3600
5+ years,yes,furniture,2450
< 1 year,no,electronics,12230
5+ years,yes,stationery,2451
1-5 years,no,stationery,1110
< 1 year,yes,electronics,69280
< 1 year,yes,furniture,119613
< 1 year,no,electronics,21770
< 1 year,yes,electronics,64160
< 1 year,no,furniture,78900
< 1 year,no,electronics,75095
5+ years,no,furniture,7450
5+ years,no,furniture,5200
< 1 year,no,furniture,32099
5+ years,no,electronics,1997
