elevation,water,winddir,windspeed,outcome
146,yes,270,2,FA
841,no,360,13,FA
672,yes,360,4,FA
312,no,250,5,FA
126,yes,170,8,FA
607,no,360,8,FA
748,no,270,15,FA
620,yes,290,5,FA
5431,no,200,2,FD
2181,yes,310,8,FD
645,yes,170,7,FD
433,no,270,6,FD
360,no,140,15,FD
4227,yes,200,2,FD
14,yes,150,7,C
1026,no,290,1,C
17,yes,180,2,C
20,yes,270,6,C
15,yes,0,3,C
1135,no,20,13,C
21,yes,30,8,C
98,no,140,8,C
36,yes,10,3,C
8,yes,270,10,C
26,yes,0,3,C
13,yes,170,9,C
9,yes,270,6,C
18,yes,200,12,C
96,no,200,8,C
60,yes,240,9,C
