ncomps,nbooks,njrnls,budget
0,8.2,0,0
19,11.7,10,16.45
0,2,0,5.29
13,8.2,8,23.5
5,30,2,6.33
16,14.1,15,7.2
12,9.5,0,3.07
6,21.8,0,4
12,9,11,4.39
22,5,20,17.07
0,15.7,4,1.82
7,19.3,66,9.09
6,20.8,2,10.49
28,11,30,0.47
0,9.3,0,0.06
11,12.7,14,0
17,15.6,14,22.22
22,9,16,0
32,18.3,23,22.22
0,12,5,0.17
6,8.8,12,7.14
1,14,60,1.83
5,12.5,32,24.66
7,3,5,7.07
3,16.3,40,12
1,6.5,40,13.85
3,8.5,4,18.22
4,10,20,30.49
7,18,100,0.81
0,11.5,2,0.61
3,9.1,0,9.19
13,10.4,36,25.67
36,7.5,55,7.89
0,19.7,8,1
