ndefectives,experience,shift
2,3.1,morning
5,2.1,morning
3,8,morning
3,7.6,morning
2,5.9,morning
2,4,morning
1,1.7,morning
0,1.8,morning
0,8.2,morning
1,8.1,morning
3,3,day
3,7.7,day
2,6.3,day
2,8.1,day
2,7.7,day
1,2.4,day
1,3,day
1,4.6,day
0,2.1,day
2,3,day
5,8.2,evening
4,4,evening
4,6.2,evening
3,2.9,evening
2,2.1,evening
2,1.9,evening
1,6.7,evening
1,3.4,evening
1,7.6,evening
6,5.1,night
4,3.2,night
4,7.6,night
4,2.5,night
3,6.2,night
3,2,night
5,4,night
