naccidents,gender,age,miles
1,M,27,90
1,M,60,70
1,M,36,160
2,M,32,80
2,M,27,150
2,M,58,150
2,M,38,105
3,M,42,75
3,M,55,170
3,M,42,70
3,M,30,110
3,M,54,170
4,M,36,120
4,M,47,145
5,M,20,25
5,M,67,160
5,M,33,140
5,M,41,50
5,M,43,150
6,M,59,130
7,M,65,90
9,M,68,180
0,F,33,110
0,F,40,190
0,F,36,190
0,F,57,140
1,F,47,160
1,F,59,70
1,F,55,180
2,F,44,170
2,F,36,100
2,F,40,170
2,F,58,60
3,F,53,200
3,F,29,180
3,F,51,150
3,F,49,150
4,F,32,180
4,F,51,90
4,F,43,90
4,F,43,20
4,F,31,120
4,F,50,130
4,F,36,50
5,F,40,100
6,F,48,170
6,F,57,180
8,F,66,130
