grade,hw,gender,nbooks
3,no,M,3
3,yes,M,3
2,no,F,4
2,yes,M,3
3,no,F,2
1,yes,F,0
1,yes,F,4
2,no,F,0
1,no,M,0
3,no,M,1
3,yes,F,3
2,no,F,4
3,no,M,0
2,no,M,0
1,yes,F,5
3,yes,M,2
1,no,F,1
3,no,F,4
1,no,F,0
2,yes,F,2
3,no,F,4
1,no,M,2
2,no,M,0
2,no,F,4
3,no,F,5
2,yes,F,0
2,yes,M,3
2,no,M,3
3,yes,F,4
3,yes,M,3
3,yes,F,1
1,no,M,0
2,no,M,0
1,yes,M,0
2,yes,F,6
2,yes,F,2
2,no,F,3
2,no,F,0
3,no,F,5
3,yes,M,2
1,no,M,0
3,no,F,2
2,yes,F,0
2,no,M,2
2,no,M,0
3,no,F,3
1,yes,F,1
2,no,F,0
1,yes,M,1
2,yes,M,2
