nnewvideos,nvideos,nsubscr,nviews,type
3,81,3.9,205.8,lifeadvice
4,188,27,213.6,fashion
1,55,10.1,176.8,products
4,123,14.4,59.7,science
1,65,5,508.7,lifeadvice
2,118,3.5,280.6,comedy
3,119,4.7,25.7,fashion
1,47,4.4,135.8,products
2,405,58,423.6,comedy
4,160,10.9,212.8,science
4,123,1.3,204.1,fashion
1,96,1.1,449,comedy
2,44,2.7,217.7,fashion
1,71,8,12.3,lifeadvice
4,190,6.7,433.3,lifeadvice
1,59,9.5,90.4,science
1,36,9.2,423.9,products
3,511,92.5,158.4,products
2,112,4.2,225.7,products
4,156,32.4,140.8,comedy
3,212,1.3,121.1,products
4,86,4.2,160.2,fashion
12,517,85.4,163.7,lifeadvice
7,100,8,91.5,news
9,130,2.8,38.9,lifeadvice
2,34,2.4,151.9,fashion
30,396,7.6,118.4,comedy
12,52,0.9,617.2,lifeadvice
9,43,7.7,542.6,comedy
22,304,2.6,150.5,news
10,430,1.4,242.1,comedy
2,76,15.2,106.7,fashion
2,53,3.6,121.1,fashion
9,98,1,160.2,news
19,56,4.7,163.7,news
4,102,0.9,91.5,fashion
2,43,0.5,38.9,fashion
14,81,3.2,151.9,products
4,86,3.2,118.4,products
10,90,2.6,617.2,products
