BMI,fortyyd,vertical,broad,bench,propgames
31.1,4.58,35.0,108,20,0.00
28.5,4.70,30.5,115,21,1.00
32.4,4.39,36.0,116,18,0.00
30.8,4.67,33.0,121,15,0.87
29.6,4.41,33.0,116,26,0.47
30.0,4.56,38.0,122,21,0.80
31.3,4.50,35.0,119,29,0.80
29.4,4.49,31.5,115,18,0.33
28.1,4.37,34.5,130,21,0.53
31.0,4.52,33.5,128,25,0.87
29.7,4.57,31.5,124,18,0.73
27.6,4.62,38.5,118,15,1.00
29.5,4.60,32.0,121,15,0.47
30.7,4.40,34.5,113,22,0.47
29.4,4.73,34.0,114,15,0.60
29.1,4.57,35.0,111,19,0.87
30.6,4.60,30.5,114,24,0.47
29.3,4.55,36.0,115,17,0.87
28.1,4.59,35.5,109,14,0.87
31.7,4.62,37.0,121,19,0.80
29.7,4.73,34.0,118,21,1.00
30.7,4.80,34.0,114,15,0.33
28.8,4.37,36.0,121,19,0.73
30.7,4.68,34.0,105,14,0.00
30.7,4.64,33.0,116,21,0.47
30.3,4.50,35.5,115,25,0.60
30.0,4.48,34.0,119,20,0.67
28.6,4.59,36.0,123,17,1.00
30.8,4.43,34.0,117,18,0.53
27.7,4.51,33.0,117,20,0.73
30.7,4.50,38.0,114,18,1.00
28.1,4.59,36.0,115,17,0.93
29.3,4.61,32.0,113,20,0.00
27.9,4.64,33.0,118,23,1.00
29.7,4.67,41.0,124,21,1.00
29.9,4.48,35.0,111,18,0.00
32.0,4.51,33.5,116,25,0.67
29.6,4.37,37.0,115,24,0.93
32.9,4.55,33.0,122,27,0.47
27.6,4.67,33.5,118,26,1.00
30.4,4.55,32.0,109,17,0.73
31.4,4.50,38.0,121,18,0.67
