perchospitalized,location,type,nbeds
17,rural,private,56
39,rural,public,144
38,urban,public,61
48,rural,public,186
30,rural,private,132
25,urban,private,589
5,urban,public,53
4,rural,private,73
48,rural,private,154
4,urban,public,38
26,rural,private,318
15,urban,public,35
28,urban,private,184
34,urban,private,173
31,urban,public,63
4,urban,public,91
6,urban,public,77
39,urban,private,237
41,urban,private,56
45,rural,public,43
13,urban,public,64
42,rural,public,193
28,urban,private,363
31,urban,public,600
48,rural,public,468
41,rural,public,311
9,urban,public,65
13,urban,private,44
44,urban,public,479
16,rural,public,72
