hotel,region,ADR1,OCR1,ADR2,OCR2,ADR3,OCR3,ADR4,OCR4
1,rural,88,3,76,8,74,11,78,17
2,rural,79,5,98,9,72,7,54,14
3,rural,84,2,67,4,64,9,98,13
4,rural,79,3,88,4,77,80,66,15
5,rural,68,1,75,8,58,16,80,21
6,rural,82,0,95,4,85,9,90,16
7,rural,92,4,93,8,87,13,92,20
8,rural,58,0,54,9,67,19,84,25
9,rural,84,1,87,9,94,6,92,19
10,rural,98,3,92,0,88,3,80,7
11,urban,112,1,137,11,114,5,137,23
12,urban,104,1,176,8,97,6,146,18
13,urban,195,3,171,5,175,6,137,11
14,urban,128,1,113,10,125,3,126,9
15,urban,96,2,152,10,145,5,153,10
16,urban,98,0,170,9,129,3,148,16
17,urban,119,2,121,8,128,6,147,18
18,urban,120,0,130,0,114,2,108,13
